restaurant_name,amenity_type,address,city,district,province,cuisine_type,phone,website,opening_hours,halal,vegetarian_friendly,latitude,longitude,osm_id,nearby_attractions,google_maps_link,image_url_1,image_url_2,image_url_3,image_url
Sinharaja Bakery & Restaurant,Café,"Aluthgama, Sri Lanka",Aluthgama,Kalutara,Western Province,Sri Lankan,,,,,,6.437382,79.995255,1661840268.0,Bentota Beach; Brief Garden; Madu River,"https://www.google.com/maps/search/?api=1&query=Sinharaja%20Bakery%20%26%20Restaurant&query_place_id=&center=6.437382,79.995255",https://images.pexels.com/photos/6877577/pexels-photo-6877577.jpeg?auto=compress&cs=tinysrgb&w=800&h=600&fit=crop,https://images.pexels.com/photos/11520188/pexels-photo-11520188.jpeg?auto=compress&cs=tinysrgb&w=600&h=600&fit=crop,https://images.pexels.com/photos/32083239/pexels-photo-32083239.jpeg?auto=compress&cs=tinysrgb&w=600&h=600&fit=crop,https://images.pexels.com/photos/17468822/pexels-photo-17468822.jpeg?auto=compress&cs=tinysrgb&w=600&h=600&fit=crop
The Loft,Café,"Aluthgama, Sri Lanka",Aluthgama,Kalutara,Western Province,Sri Lankan,,,,,,6.422032,79.996071,2678710817.0,Bentota Beach; Brief Garden; Madu River,"https://www.google.com/maps/search/?api=1&query=The%20Loft&query_place_id=&center=6.422032,79.996071",https://images.pexels.com/photos/6082133/pexels-photo-6082133.jpeg?auto=compress&cs=tinysrgb&w=800&h=600&fit=crop,https://images.pexels.com/photos/101533/pexels-photo-101533.jpeg?auto=compress&cs=tinysrgb&w=600&h=600&fit=crop,https://images.pexels.com/photos/1307698/pexels-photo-1307698.jpeg?auto=compress&cs=tinysrgb&w=600&h=600&fit=crop,https://images.pexels.com/photos/1307698/pexels-photo-1307698.jpeg?auto=compress&cs=tinysrgb&w=600&h=600&fit=crop
Fun and Joy,Restaurant,"Aluthgama, Sri Lanka",Aluthgama,Kalutara,Western Province,Regional,,,,,,6.425113,79.997903,2678710818.0,Bentota Beach; Brief Garden; Madu River,"https://www.google.com/maps/search/?api=1&query=Fun%20and%20Joy&query_place_id=&center=6.425113,79.997903",https://images.pexels.com/photos/6877572/pexels-photo-6877572.jpeg?auto=compress&cs=tinysrgb&w=800&h=600&fit=crop,https://images.pexels.com/photos/29033148/pexels-photo-29033148.jpeg?auto=compress&cs=tinysrgb&w=600&h=600&fit=crop,https://images.pexels.com/photos/9703895/pexels-photo-9703895.jpeg?auto=compress&cs=tinysrgb&w=600&h=600&fit=crop,https://images.pexels.com/photos/33427661/pexels-photo-33427661.jpeg?auto=compress&cs=tinysrgb&w=600&h=600&fit=crop
Ganga Garden,Restaurant,"Aluthgama, Sri Lanka",Aluthgama,Kalutara,Western Province,Sri Lankan,,,,,,6.437513,79.994003,2766493770.0,Bentota Beach; Brief Garden; Madu River,"https://www.google.com/maps/search/?api=1&query=Ganga%20Garden&query_place_id=&center=6.437513,79.994003",https://images.pexels.com/photos/11490352/pexels-photo-11490352.jpeg?auto=compress&cs=tinysrgb&w=800&h=600&fit=crop,https://images.pexels.com/photos/27969865/pexels-photo-27969865.jpeg?auto=compress&cs=tinysrgb&w=600&h=600&fit=crop,https://images.pexels.com/photos/31326827/pexels-photo-31326827.jpeg?auto=compress&cs=tinysrgb&w=600&h=600&fit=crop,https://images.pexels.com/photos/9271236/pexels-photo-9271236.jpeg?auto=compress&cs=tinysrgb&w=600&h=600&fit=crop
Rana,Restaurant,"Aluthgama, Sri Lanka",Aluthgama,Kalutara,Western Province,Regional,,,,,,6.418681,79.997225,3347824121.0,Bentota Beach; Brief Garden; Madu River,"https://www.google.com/maps/search/?api=1&query=Rana&query_place_id=&center=6.418681,79.997225",https://images.pexels.com/photos/4451952/pexels-photo-4451952.jpeg?auto=compress&cs=tinysrgb&w=800&h=600&fit=crop,https://images.pexels.com/photos/9703894/pexels-photo-9703894.jpeg?auto=compress&cs=tinysrgb&w=600&h=600&fit=crop,https://images.pexels.com/photos/31326827/pexels-photo-31326827.jpeg?auto=compress&cs=tinysrgb&w=600&h=600&fit=crop,https://images.pexels.com/photos/9271236/pexels-photo-9271236.jpeg?auto=compress&cs=tinysrgb&w=600&h=600&fit=crop
Pizza No.1,Fast Food,"Aluthgama, Sri Lanka",Aluthgama,Kalutara,Western Province,Italian,,,,,,6.429428,79.999572,3353975836.0,Bentota Beach; Brief Garden; Madu River,"https://www.google.com/maps/search/?api=1&query=Pizza%20No.1&query_place_id=&center=6.429428,79.999572",https://images.pexels.com/photos/6130077/pexels-photo-6130077.jpeg?auto=compress&cs=tinysrgb&w=800&h=600&fit=crop,https://images.pexels.com/photos/4237243/pexels-photo-4237243.jpeg?auto=compress&cs=tinysrgb&w=600&h=600&fit=crop,https://images.pexels.com/photos/16520188/pexels-photo-16520188.jpeg?auto=compress&cs=tinysrgb&w=600&h=600&fit=crop,https://images.pexels.com/photos/4819658/pexels-photo-4819658.jpeg?auto=compress&cs=tinysrgb&w=600&h=600&fit=crop
Amaya Reception,Restaurant,"Dharga Town, Kuttyweligoda",Aluthgama,Kalutara,Western Province,Asian,,,,,,6.442629,80.02431,4420527004.0,Bentota Beach; Brief Garden; Madu River,"https://www.google.com/maps/search/?api=1&query=Amaya%20Reception&query_place_id=&center=6.442629,80.02431",https://images.pexels.com/photos/5761696/pexels-photo-5761696.jpeg?auto=compress&cs=tinysrgb&w=800&h=600&fit=crop,https://images.pexels.com/photos/20291129/pexels-photo-20291129.jpeg?auto=compress&cs=tinysrgb&w=600&h=600&fit=crop,https://images.pexels.com/photos/31513219/pexels-photo-31513219.jpeg?auto=compress&cs=tinysrgb&w=600&h=600&fit=crop,https://images.pexels.com/photos/31500855/pexels-photo-31500855.jpeg?auto=compress&cs=tinysrgb&w=600&h=600&fit=crop
Pier 88,Restaurant,"Aluthgama, Sri Lanka",Aluthgama,Kalutara,Western Province,Regional,,,,,,6.428221,80.000871,4434950496.0,Bentota Beach; Brief Garden; Madu River,"https://www.google.com/maps/search/?api=1&query=Pier%2088&query_place_id=&center=6.428221,80.000871",https://images.pexels.com/photos/4451711/pexels-photo-4451711.jpeg?auto=compress&cs=tinysrgb&w=800&h=600&fit=crop,https://images.pexels.com/photos/762473/pexels-photo-762473.jpeg?auto=compress&cs=tinysrgb&w=600&h=600&fit=crop,https://images.pexels.com/photos/262047/pexels-photo-262047.jpeg?auto=compress&cs=tinysrgb&w=600&h=600&fit=crop,https://images.pexels.com/photos/260116/pexels-photo-260116.jpeg?auto=compress&cs=tinysrgb&w=600&h=600&fit=crop
Hotel Hemadan,Restaurant,"25, River Avenue, Aluthgama",Aluthgama,Kalutara,Western Province,Seafood,+94342275320,,,,,6.428827,79.997441,4496529793.0,Bentota Beach; Brief Garden; Madu River,"https://www.google.com/maps/search/?api=1&query=Hotel%20Hemadan&query_place_id=&center=6.428827,79.997441",https://images.pexels.com/photos/4732675/pexels-photo-4732675.jpeg?auto=compress&cs=tinysrgb&w=800&h=600&fit=crop,https://images.pexels.com/photos/127513/pexels-photo-127513.jpeg?auto=compress&cs=tinysrgb&w=600&h=600&fit=crop,https://images.pexels.com/photos/941861/pexels-photo-941861.jpeg?auto=compress&cs=tinysrgb&w=600&h=600&fit=crop,https://images.pexels.com/photos/262047/pexels-photo-262047.jpeg?auto=compress&cs=tinysrgb&w=600&h=600&fit=crop
Sunflower(Подсолнух),Restaurant,"Aluthgama, Sri Lanka",Aluthgama,Kalutara,Western Province,Local,,,Mo-Su 09:00-23:00,,,6.448592,79.981985,5087891121.0,Bentota Beach; Brief Garden; Madu River,"https://www.google.com/maps/search/?api=1&query=Sunflower%28%D0%9F%D0%BE%D0%B4%D1%81%D0%BE%D0%BB%D0%BD%D1%83%D1%85%29&query_place_id=&center=6.448592,79.981985",https://images.pexels.com/photos/1237077/pexels-photo-1237077.jpeg?auto=compress&cs=tinysrgb&w=800&h=600&fit=crop,https://images.pexels.com/photos/32255675/pexels-photo-32255675.jpeg?auto=compress&cs=tinysrgb&w=600&h=600&fit=crop,https://images.pexels.com/photos/32399761/pexels-photo-32399761.jpeg?auto=compress&cs=tinysrgb&w=600&h=600&fit=crop,https://images.pexels.com/photos/35065203/pexels-photo-35065203.jpeg?auto=compress&cs=tinysrgb&w=600&h=600&fit=crop
